Id,Genre,happiness,love,trust,optimism,sadness,fear,disgust,anger,lost,surprise,touched,peace
0,"['trust', 'optimism']",0,0,1,1,0,0,0,0,0,0,0,0
1,"['happiness', 'optimism']",1,0,0,1,0,0,0,0,0,0,0,0
2,"['love', 'peace']",0,1,0,0,0,0,0,0,0,0,0,1
3,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
4,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
5,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
6,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
7,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
8,"['happiness', 'optimism']",1,0,0,1,0,0,0,0,0,0,0,0
9,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
10,"['trust', 'optimism']",0,0,1,1,0,0,0,0,0,0,0,0
11,"['trust', 'peace']",0,0,1,0,0,0,0,0,0,0,0,1
12,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
13,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
14,['lost'],0,0,0,0,0,0,0,0,1,0,0,0
15,['anger'],0,0,0,0,0,0,0,1,0,0,0,0
16,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
17,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
18,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
19,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
20,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
21,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
22,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
23,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
24,['anger'],0,0,0,0,0,0,0,1,0,0,0,0
25,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
26,['love'],0,1,0,0,0,0,0,0,0,0,0,0
27,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
28,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
29,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
30,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
31,['lost'],0,0,0,0,0,0,0,0,1,0,0,0
32,['anger'],0,0,0,0,0,0,0,1,0,0,0,0
33,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
34,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
35,['anger'],0,0,0,0,0,0,0,1,0,0,0,0
36,['lost'],0,0,0,0,0,0,0,0,1,0,0,0
37,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
38,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
39,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
40,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
41,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
42,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
43,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
44,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
45,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
46,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
47,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
48,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
49,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
50,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
51,['lost'],0,0,0,0,0,0,0,0,1,0,0,0
52,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
53,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
54,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
55,['sadness'],0,0,0,0,1,0,0,0,0,0,0,0
56,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
57,['love'],0,1,0,0,0,0,0,0,0,0,0,0
58,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
59,"['love', 'trust']",0,1,1,0,0,0,0,0,0,0,0,0
60,"['happiness', 'love', 'trust']",1,1,1,0,0,0,0,0,0,0,0,0
61,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
62,"['love', 'trust', 'touched']",0,1,1,0,0,0,0,0,0,0,1,0
63,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
64,"['happiness', 'love', 'trust']",1,1,1,0,0,0,0,0,0,0,0,0
65,"['love', 'trust']",0,1,1,0,0,0,0,0,0,0,0,0
66,"['love', 'trust', 'touched']",0,1,1,0,0,0,0,0,0,0,1,0
67,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
68,"['happiness', 'love', 'touched']",1,1,0,0,0,0,0,0,0,0,1,0
69,"['happiness', 'love', 'trust']",1,1,1,0,0,0,0,0,0,0,0,0
70,"['trust', 'peace']",0,0,1,0,0,0,0,0,0,0,0,1
71,"['happiness', 'trust']",1,0,1,0,0,0,0,0,0,0,0,0
72,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
73,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
74,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
75,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
76,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
77,"['happiness', 'trust']",1,0,1,0,0,0,0,0,0,0,0,0
78,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
79,['happiness'],1,0,0,0,0,0,0,0,0,0,0,0
80,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
81,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
82,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
83,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
84,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
85,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
86,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
87,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
88,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
89,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
90,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
91,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
92,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
93,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
94,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
95,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
96,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
97,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
98,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
99,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
100,['anger'],0,0,0,0,0,0,0,1,0,0,0,0
101,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
102,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
103,['happiness'],1,0,0,0,0,0,0,0,0,0,0,0
104,['surprise'],0,0,0,0,0,0,0,0,0,1,0,0
105,['surprise'],0,0,0,0,0,0,0,0,0,1,0,0
106,['surprise'],0,0,0,0,0,0,0,0,0,1,0,0
107,['surprise'],0,0,0,0,0,0,0,0,0,1,0,0
108,['surprise'],0,0,0,0,0,0,0,0,0,1,0,0
109,['surprise'],0,0,0,0,0,0,0,0,0,1,0,0
110,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
111,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
112,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
113,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
114,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
115,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
116,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
117,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
118,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
119,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
120,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
121,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
122,"['trust', 'peace']",0,0,1,0,0,0,0,0,0,0,0,1
123,['anger'],0,0,0,0,0,0,0,1,0,0,0,0
124,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
125,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
126,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
127,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
128,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
129,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
130,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
131,['sadness'],0,0,0,0,1,0,0,0,0,0,0,0
132,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
133,['happiness'],1,0,0,0,0,0,0,0,0,0,0,0
134,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
135,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
136,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
137,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
138,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
139,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
140,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
141,['love'],0,1,0,0,0,0,0,0,0,0,0,0
142,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
143,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
144,['sadness'],0,0,0,0,1,0,0,0,0,0,0,0
145,['love'],0,1,0,0,0,0,0,0,0,0,0,0
146,"['love', 'trust']",0,1,1,0,0,0,0,0,0,0,0,0
147,['lost'],0,0,0,0,0,0,0,0,1,0,0,0
148,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
149,"['love', 'trust']",0,1,1,0,0,0,0,0,0,0,0,0
150,"['love', 'trust']",0,1,1,0,0,0,0,0,0,0,0,0
151,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
152,"['love', 'trust']",0,1,1,0,0,0,0,0,0,0,0,0
153,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
154,['peace'],0,0,0,0,0,0,0,0,0,0,0,1
155,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
156,['anger'],0,0,0,0,0,0,0,1,0,0,0,0
157,['happiness'],1,0,0,0,0,0,0,0,0,0,0,0
158,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
159,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
160,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
161,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
162,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
163,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
164,['disgust'],0,0,0,0,0,0,1,0,0,0,0,0
165,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
166,['disgust'],0,0,0,0,0,0,1,0,0,0,0,0
167,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
168,['fear'],0,0,0,0,0,1,0,0,0,0,0,0
169,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
170,"['love', 'optimism']",0,1,0,1,0,0,0,0,0,0,0,0
171,"['love', 'trust']",0,1,1,0,0,0,0,0,0,0,0,0
172,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
173,['trust'],0,0,1,0,0,0,0,0,0,0,0,0
174,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
175,['happiness'],1,0,0,0,0,0,0,0,0,0,0,0
176,['love'],0,1,0,0,0,0,0,0,0,0,0,0
177,['optimism'],0,0,0,1,0,0,0,0,0,0,0,0
178,['sadness'],0,0,0,0,1,0,0,0,0,0,0,0
