Id,Genre,family,friendship,adventure,enjoy-life,beautiful-scenery,home,holiday,imaginary,nostalgia,loneliness,growth,sick
0,"['friendship', 'adventure', 'beautiful-scenery']",0,1,1,0,1,0,0,0,0,0,0,0
1,"['adventure', 'beautiful-scenery', 'imaginary']",0,0,1,0,1,0,0,1,0,0,0,0
2,"['adventure', 'beautiful-scenery', 'imaginary']",0,0,1,0,1,0,0,1,0,0,0,0
3,"['imaginary', 'growth']",0,0,0,0,0,0,0,1,0,0,1,0
4,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
5,['enjoy-life'],0,0,0,1,0,0,0,0,0,0,0,0
6,['beautiful-scenery'],0,0,0,0,1,0,0,0,0,0,0,0
7,"['friendship', 'growth']",0,1,0,0,0,0,0,0,0,0,1,0
8,"['friendship', 'adventure']",0,1,1,0,0,0,0,0,0,0,0,0
9,"['adventure', 'imaginary', 'growth']",0,0,1,0,0,0,0,1,0,0,1,0
10,"['friendship', 'beautiful-scenery', 'imaginary']",0,1,0,0,1,0,0,1,0,0,0,0
11,"['friendship', 'beautiful-scenery']",0,1,0,0,1,0,0,0,0,0,0,0
12,['home'],0,0,0,0,0,1,0,0,0,0,0,0
13,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
14,"['imaginary', 'loneliness']",0,0,0,0,0,0,0,1,0,1,0,0
15,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
16,"['friendship', 'adventure', 'imaginary']",0,1,1,0,0,0,0,1,0,0,0,0
17,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
18,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
19,"['family', 'beautiful-scenery']",1,0,0,0,1,0,0,0,0,0,0,0
20,"['friendship', 'adventure', 'imaginary']",0,1,1,0,0,0,0,1,0,0,0,0
21,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
22,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
23,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
24,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
25,"['adventure', 'growth']",0,0,1,0,0,0,0,0,0,0,1,0
26,"['friendship', 'beautiful-scenery']",0,1,0,0,1,0,0,0,0,0,0,0
27,['enjoy-life'],0,0,0,1,0,0,0,0,0,0,0,0
28,['enjoy-life'],0,0,0,1,0,0,0,0,0,0,0,0
29,['home'],0,0,0,0,0,1,0,0,0,0,0,0
30,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
31,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
32,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
33,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
34,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
35,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
36,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
37,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
38,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
39,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
40,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
41,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
42,"['adventure', 'beautiful-scenery']",0,0,1,0,1,0,0,0,0,0,0,0
43,"['adventure', 'beautiful-scenery']",0,0,1,0,1,0,0,0,0,0,0,0
44,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
45,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
46,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
47,"['adventure', 'beautiful-scenery', 'imaginary']",0,0,1,0,1,0,0,1,0,0,0,0
48,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
49,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
50,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
51,"['adventure', 'holiday']",0,0,1,0,0,0,1,0,0,0,0,0
52,['family'],1,0,0,0,0,0,0,0,0,0,0,0
53,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
54,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
55,['family'],1,0,0,0,0,0,0,0,0,0,0,0
56,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
57,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
58,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
59,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
60,"['family', 'enjoy-life']",1,0,0,1,0,0,0,0,0,0,0,0
61,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
62,"['family', 'adventure', 'enjoy-life']",1,0,1,1,0,0,0,0,0,0,0,0
63,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
64,"['friendship', 'beautiful-scenery']",0,1,0,0,1,0,0,0,0,0,0,0
65,"['family', 'adventure', 'beautiful-scenery']",1,0,1,0,1,0,0,0,0,0,0,0
66,"['family', 'enjoy-life', 'beautiful-scenery']",1,0,0,1,1,0,0,0,0,0,0,0
