Id,Genre,classic,cute,romantic,realistic,expressionnisme,abstract,decoration,grotesque,humor
0,"['cute', 'expressionnisme']",0,1,0,0,1,0,0,0,0
1,"['expressionnisme', 'abstract']",0,0,0,0,1,1,0,0,0
2,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
3,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
4,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
5,"['expressionnisme', 'humor']",0,0,0,0,1,0,0,0,1
6,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
7,"['cute', 'abstract']",0,1,0,0,0,1,0,0,0
8,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
9,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
10,"['abstract', 'humor']",0,0,0,0,0,1,0,0,1
11,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
12,"['romantic', 'realistic']",0,0,1,1,0,0,0,0,0
13,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
14,['grotesque'],0,0,0,0,0,0,0,1,0
15,"['classic', 'humor']",1,0,0,0,0,0,0,0,1
16,"['classic', 'grotesque']",1,0,0,0,0,0,0,1,0
17,"['classic', 'humor']",1,0,0,0,0,0,0,0,1
18,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
19,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
20,"['classic', 'grotesque']",1,0,0,0,0,0,0,1,0
21,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
22,"['classic', 'humor']",1,0,0,0,0,0,0,0,1
23,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
24,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
25,"['romantic', 'realistic']",0,0,1,1,0,0,0,0,0
26,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
27,"['classic', 'cute']",1,1,0,0,0,0,0,0,0
28,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
29,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
30,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
31,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
32,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
33,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
34,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
35,"['cute', 'grotesque']",0,1,0,0,0,0,0,1,0
36,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
37,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
38,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
39,"['romantic', 'realistic']",0,0,1,1,0,0,0,0,0
40,"['classic', 'grotesque']",1,0,0,0,0,0,0,1,0
41,"['classic', 'grotesque']",1,0,0,0,0,0,0,1,0
42,"['classic', 'grotesque']",1,0,0,0,0,0,0,1,0
43,"['classic', 'grotesque']",1,0,0,0,0,0,0,1,0
44,"['classic', 'realistic']",1,0,0,1,0,0,0,0,0
45,"['classic', 'realistic']",1,0,0,1,0,0,0,0,0
46,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
47,"['classic', 'grotesque']",1,0,0,0,0,0,0,1,0
48,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
49,"['classic', 'grotesque']",1,0,0,0,0,0,0,1,0
50,"['classic', 'grotesque']",1,0,0,0,0,0,0,1,0
51,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
52,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
53,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
54,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
55,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
56,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
57,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
58,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
59,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
60,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
61,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
62,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
63,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
64,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
65,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
66,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
67,"['classic', 'cute']",1,1,0,0,0,0,0,0,0
68,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
69,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
70,"['expressionnisme', 'humor']",0,0,0,0,1,0,0,0,1
